epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3447,0.74815,1.86568,0.91185,0.93774,0.89362,0.97633,0.82739,0.6319,1.49794,0.8467,0.000660317,0.000660317,0.000660317
2,43.8924,0.6743,0.98757,0.89306,0.98544,0.97636,0.99381,0.86143,0.57786,0.74847,0.84746,0.000889079,0.000889079,0.000889079
3,63.0723,0.62682,0.7602,0.88094,0.98319,0.99527,0.9927,0.88465,0.48287,0.50047,0.81475,0.000677841,0.000677841,0.000677841
