epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4766,0.7075,2.12001,0.87716,0.98545,0.96051,0.99226,0.83207,0.60686,1.40546,0.84615,0.000660317,0.000660317,0.000660317
2,86.8438,0.70574,1.14251,0.88082,0.98265,0.97163,0.98675,0.79121,0.73168,0.71741,0.87728,0.00119561,0.00119561,0.00119561
3,107.733,0.66996,0.79388,0.87682,0.97425,0.98377,0.9799,0.83922,0.6499,0.62948,0.85477,0.00159891,0.00159891,0.00159891
4,129.514,0.65367,0.60231,0.87331,0.97325,0.99054,0.98143,0.86774,0.57223,0.44313,0.83298,0.001406,0.001406,0.001406
5,151.538,0.62122,0.50539,0.86829,0.98185,0.99527,0.98492,0.86366,0.53719,0.40144,0.82805,0.001208,0.001208,0.001208
6,172.546,0.59825,0.44681,0.85687,0.99055,0.99162,0.99478,0.89445,0.46715,0.37143,0.81379,0.00101,0.00101,0.00101
7,194.628,0.55865,0.40148,0.84373,0.99058,0.99455,0.99546,0.87948,0.53577,0.33086,0.82426,0.000812,0.000812,0.000812
8,217.217,0.53612,0.37364,0.8439,0.99057,0.99316,0.99486,0.90343,0.45508,0.3032,0.81014,0.000614,0.000614,0.000614
9,240.146,0.51096,0.34276,0.83172,0.98592,0.99304,0.99406,0.90657,0.44221,0.28881,0.8089,0.000416,0.000416,0.000416
10,262.006,0.4874,0.32364,0.82947,0.99667,0.99587,0.99546,0.92258,0.40706,0.2588,0.79994,0.000218,0.000218,0.000218
