epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0955,0.53598,0.48785,0.85426,0.97536,0.98582,0.99088,0.86682,0.54689,0.47188,0.83868,0.000660317,0.000660317,0.000660317
2,42.1099,0.58129,0.49611,0.87123,0.96647,0.98818,0.98806,0.85931,0.53111,0.44586,0.83635,0.00106424,0.00106424,0.00106424
3,61.4211,0.61615,0.48789,0.88516,0.97944,0.98345,0.99368,0.88644,0.52472,0.37072,0.82681,0.00120417,0.00120417,0.00120417
4,80.6241,0.59164,0.44636,0.88032,0.97435,0.99054,0.99005,0.89964,0.43448,0.35647,0.81242,0.000812,0.000812,0.000812
5,99.3814,0.55208,0.39457,0.86939,0.98136,0.99574,0.9945,0.90076,0.46902,0.3061,0.81697,0.000416,0.000416,0.000416
