epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4768,0.70094,1.63845,0.89955,0.99272,0.96736,0.9942,0.85418,0.64118,1.27174,0.84669,0.000660317,0.000660317,0.000660317
2,43.4992,0.70057,0.86721,0.90044,0.95784,0.96683,0.98222,0.83037,0.63848,0.76137,0.8645,0.00130071,0.00130071,0.00130071
3,62.3016,0.70879,0.68233,0.90699,0.93445,0.96927,0.96977,0.82628,0.66362,0.54093,0.86324,0.0019147,0.0019147,0.0019147
4,80.2439,0.67879,0.57798,0.89471,0.98444,0.98345,0.98982,0.8557,0.56715,0.42027,0.83519,0.0018812,0.0018812,0.0018812
5,98.6172,0.67319,0.51878,0.89519,0.9834,0.99054,0.99343,0.87769,0.5609,0.38169,0.8374,0.0018416,0.0018416,0.0018416
6,117.128,0.64845,0.47359,0.88955,0.9882,0.98109,0.99452,0.88883,0.49961,0.38509,0.82094,0.001802,0.001802,0.001802
7,134.992,0.62026,0.45085,0.87537,0.99523,0.9865,0.99479,0.89426,0.51786,0.33484,0.82981,0.0017624,0.0017624,0.0017624
8,152.943,0.61604,0.42626,0.87476,0.98578,0.98351,0.99354,0.8762,0.57346,0.38629,0.82965,0.0017228,0.0017228,0.0017228
9,170.754,0.63099,0.42957,0.88472,0.98797,0.97083,0.99134,0.87459,0.55228,0.35857,0.83212,0.0016832,0.0016832,0.0016832
10,188.229,0.6099,0.42059,0.88294,0.97878,0.9815,0.99347,0.89293,0.50084,0.33672,0.818,0.0016436,0.0016436,0.0016436
11,205.508,0.5863,0.39939,0.86701,0.98421,0.97872,0.99402,0.89973,0.49472,0.35115,0.82037,0.001604,0.001604,0.001604
12,223.021,0.59131,0.39085,0.87086,0.97853,0.98582,0.99141,0.90271,0.46248,0.32954,0.81765,0.0015644,0.0015644,0.0015644
13,240.426,0.59126,0.3854,0.86919,0.99268,0.9624,0.99319,0.89954,0.54199,0.36242,0.82522,0.0015248,0.0015248,0.0015248
14,258.951,0.57386,0.37398,0.86004,0.9896,0.99291,0.99483,0.90991,0.47205,0.31037,0.81407,0.0014852,0.0014852,0.0014852
15,277.601,0.56654,0.36702,0.87049,0.9835,0.98663,0.99469,0.91017,0.43835,0.30984,0.81108,0.0014456,0.0014456,0.0014456
16,295.06,0.56083,0.36998,0.86587,0.99527,0.99476,0.99447,0.90291,0.47893,0.30729,0.81542,0.001406,0.001406,0.001406
17,312.014,0.56918,0.36738,0.86233,0.9858,0.99054,0.99483,0.89938,0.46477,0.30624,0.82055,0.0013664,0.0013664,0.0013664
18,328.809,0.55355,0.35309,0.8559,0.99234,0.97636,0.99422,0.89909,0.49148,0.30354,0.81435,0.0013268,0.0013268,0.0013268
19,345.589,0.55583,0.35548,0.86328,0.99231,0.98109,0.99474,0.91181,0.4605,0.31031,0.81267,0.0012872,0.0012872,0.0012872
20,362.134,0.54912,0.34598,0.85776,0.98656,0.98818,0.99452,0.90496,0.44265,0.29698,0.81254,0.0012476,0.0012476,0.0012476
21,378.977,0.54189,0.34583,0.85334,0.98857,0.99291,0.99483,0.91204,0.43394,0.27645,0.81242,0.001208,0.001208,0.001208
22,395.644,0.52824,0.32548,0.85039,0.99158,0.97636,0.9946,0.91044,0.43805,0.2757,0.81212,0.0011684,0.0011684,0.0011684
23,412.303,0.51512,0.32043,0.8461,0.99654,0.99054,0.995,0.91607,0.43782,0.2737,0.81265,0.0011288,0.0011288,0.0011288
24,428.855,0.51382,0.32425,0.8512,0.99635,0.99054,0.995,0.90792,0.46613,0.27829,0.8124,0.0010892,0.0010892,0.0010892
25,445.213,0.52261,0.32745,0.85104,0.9871,0.98109,0.99462,0.91723,0.43082,0.28193,0.8084,0.0010496,0.0010496,0.0010496
26,462.127,0.51221,0.31522,0.84954,0.98994,0.99291,0.99493,0.92851,0.42619,0.25576,0.8094,0.00101,0.00101,0.00101
27,478.894,0.51268,0.31503,0.85042,0.98824,0.99314,0.99498,0.91214,0.44763,0.27502,0.80705,0.0009704,0.0009704,0.0009704
28,495.176,0.50673,0.31034,0.84704,0.98798,0.99291,0.99483,0.91088,0.4399,0.27362,0.80564,0.0009308,0.0009308,0.0009308
29,511.77,0.50687,0.30868,0.84253,0.99056,0.9922,0.99483,0.9094,0.4711,0.26969,0.81078,0.0008912,0.0008912,0.0008912
30,528.303,0.50443,0.30606,0.84789,0.9929,0.99229,0.99498,0.9069,0.47272,0.26436,0.81517,0.0008516,0.0008516,0.0008516
