epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,545.028,0.48493,0.29219,0.83956,0.99286,0.9863,0.9946,0.92011,0.42079,0.25253,0.80762,0.000812,0.000812,0.000812
32,561.665,0.49303,0.30086,0.84576,0.99129,0.99291,0.99493,0.91608,0.44428,0.26153,0.8107,0.0007724,0.0007724,0.0007724
33,578.47,0.49018,0.29911,0.84291,0.99075,0.99527,0.99483,0.91441,0.43728,0.25244,0.80751,0.0007328,0.0007328,0.0007328
34,594.985,0.48635,0.28219,0.84508,0.99289,0.9908,0.99493,0.92505,0.42257,0.25327,0.80359,0.0006932,0.0006932,0.0006932
35,612.486,0.48498,0.29177,0.84432,0.98459,0.98582,0.99451,0.92233,0.43839,0.24913,0.80605,0.0006536,0.0006536,0.0006536
36,628.762,0.4855,0.27858,0.84244,0.98528,0.99527,0.99459,0.93363,0.41781,0.25182,0.80199,0.000614,0.000614,0.000614
37,645.177,0.46901,0.28249,0.83944,0.99253,0.99527,0.99493,0.92661,0.42414,0.24157,0.80142,0.0005744,0.0005744,0.0005744
38,661.458,0.46809,0.27384,0.83351,0.9922,0.99527,0.99498,0.92035,0.44245,0.23799,0.80551,0.0005348,0.0005348,0.0005348
39,678.328,0.46385,0.26978,0.83508,0.9881,0.99291,0.99483,0.92877,0.42592,0.23871,0.8022,0.0004952,0.0004952,0.0004952
40,695.225,0.46148,0.27105,0.84169,0.99309,0.99054,0.99495,0.92817,0.42282,0.23201,0.80176,0.0004556,0.0004556,0.0004556
41,742.306,0.43616,0.23344,0.81636,0.99022,0.98818,0.99488,0.92444,0.42559,0.24655,0.80247,0.000416,0.000416,0.000416
42,758.506,0.43429,0.23526,0.82115,0.99142,0.99054,0.99498,0.91964,0.44554,0.24402,0.80713,0.0003764,0.0003764,0.0003764
43,774.83,0.42883,0.23054,0.81114,0.99023,0.99291,0.99495,0.9307,0.41594,0.2372,0.80156,0.0003368,0.0003368,0.0003368
44,791.1,0.43137,0.22758,0.82005,0.99219,0.99291,0.99495,0.93405,0.41501,0.22983,0.80223,0.0002972,0.0002972,0.0002972
45,807.535,0.41623,0.22313,0.817,0.99061,0.99527,0.995,0.92961,0.41152,0.23257,0.80401,0.0002576,0.0002576,0.0002576
46,823.567,0.41311,0.21465,0.81369,0.99018,0.99291,0.995,0.92928,0.43511,0.22912,0.8042,0.000218,0.000218,0.000218
47,839.666,0.40311,0.21198,0.80875,0.99291,0.99383,0.995,0.93158,0.40868,0.22162,0.80068,0.0001784,0.0001784,0.0001784
48,855.79,0.40438,0.20929,0.80945,0.99291,0.99351,0.995,0.9262,0.42294,0.22756,0.80219,0.0001388,0.0001388,0.0001388
49,872.03,0.39602,0.20638,0.81059,0.992,0.99291,0.99498,0.92597,0.41553,0.22109,0.8,9.92e-05,9.92e-05,9.92e-05
50,888.026,0.39673,0.20456,0.80609,0.99026,0.99527,0.99498,0.92849,0.4125,0.21425,0.79953,5.96e-05,5.96e-05,5.96e-05
