epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2907,1.20511,1.35727,1.7104,0.95828,0.93144,0.97732,0.86218,1.02625,0.74388,1.6402,0.000660317,0.000660317,0.000660317
2,50.3353,1.33185,1.21605,1.74931,0.93273,0.94563,0.98269,0.87215,1.13467,0.72715,1.65486,0.00106424,0.00106424,0.00106424
3,71.6245,1.38874,1.10246,1.77625,0.93767,0.94326,0.98256,0.86233,1.08643,0.68362,1.6638,0.00120417,0.00120417,0.00120417
4,93.0244,1.31759,0.95141,1.76337,0.9461,0.94563,0.985,0.88462,0.97542,0.60576,1.63718,0.000812,0.000812,0.000812
5,113.866,1.20472,0.81286,1.73818,0.96116,0.97636,0.98796,0.88953,0.96184,0.50583,1.63228,0.000416,0.000416,0.000416
