epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7626,1.526,7.22913,1.79966,0.94763,0.89827,0.97308,0.83048,1.24133,6.30688,1.70056,0.000660317,0.000660317,0.000660317
2,57.7365,1.52324,4.05639,1.78426,0.95345,0.89598,0.97492,0.8324,1.24506,1.88804,1.66957,0.000889079,0.000889079,0.000889079
3,85.294,1.3855,2.82185,1.76493,0.95412,0.94563,0.98577,0.87905,1.02686,1.54559,1.63541,0.000677841,0.000677841,0.000677841
